Reporting_Year / Année;NPRI_ID / No_INRP;Facility_Name / Installation;Company_Name / Dénomination_sociale_de_l'entreprise;NAICS / Code_SCIAN;Province / Province;CAS_Number / No_CAS;Substance Name (English) / Nom de substance (Anglais);Substance Name (French) / Nom de substance (Français);Group (English) / Groupe (Anglais);Group (French) / Groupe (Français);Category (English) / Catégorie (Anglais);Category (French) / Catégorie (Français);Quantity / Quantité;Units / Unités;Estimation_Method / Méthode_d’estimation 
2013;2502;KRUGER WAYAGAMACK INC.;KRUGER WAYAGAMACK INC.;322121;QC;NA - 22;Phosphorus (total);Phosphore (total);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;7.47;tonnes;E1
2013;2502;KRUGER WAYAGAMACK INC.;KRUGER WAYAGAMACK INC.;322121;QC;NA - D/F;Dioxins and furans - total;Dioxines et furanes - totales;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.0019;g_teq_et;E1
2013;2502;KRUGER WAYAGAMACK INC.;KRUGER WAYAGAMACK INC.;322121;QC;71-43-2;Benzene;Benzène;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.001;tonnes;E2
2013;2502;KRUGER WAYAGAMACK INC.;KRUGER WAYAGAMACK INC.;322121;QC;NA - 12;Selenium (and its compounds);Sélénium (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;1.84;kg;E2
2013;2502;KRUGER WAYAGAMACK INC.;KRUGER WAYAGAMACK INC.;322121;QC;108-10-1;Methyl isobutyl ketone;Méthylisobutylecétone;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.006;tonnes;E2
2013;2502;KRUGER WAYAGAMACK INC.;KRUGER WAYAGAMACK INC.;322121;QC;7783-06-04;Hydrogen sulphide;Sulfure d'hydrogène;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.16;tonnes;E2
2013;2502;KRUGER WAYAGAMACK INC.;KRUGER WAYAGAMACK INC.;322121;QC;50-00-0;Formaldehyde;Formaldéhyde;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;1.26;tonnes;E2
2013;2502;KRUGER WAYAGAMACK INC.;KRUGER WAYAGAMACK INC.;322121;QC;129-00-0;Pyrene - PAH;Pyrène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.57;kg;E2
2013;2502;KRUGER WAYAGAMACK INC.;KRUGER WAYAGAMACK INC.;322121;QC;75-07-0;Acetaldehyde;Acétaldéhyde;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.404;tonnes;E2
2013;2587;USINE LAURENTIDE;RESOLUTE FP CANADA INC. - LAURENTIDE;322121;QC;NA - 12;Selenium (and its compounds);Sélénium (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;13.379;kg;E2
2013;2587;USINE LAURENTIDE;RESOLUTE FP CANADA INC. - LAURENTIDE;322121;QC;NA - 08;Lead (and its compounds);Plomb (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;12;kg;M3
2013;2587;USINE LAURENTIDE;RESOLUTE FP CANADA INC. - LAURENTIDE;322121;QC;107-21-1;Ethylene glycol;Éthylèneglycol;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;1.64;tonnes;C
2013;2587;USINE LAURENTIDE;RESOLUTE FP CANADA INC. - LAURENTIDE;322121;QC;NA - 19;Hexavalent chromium (and its compounds);Chrome hexavalent (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.008;kg;E2
2013;2587;USINE LAURENTIDE;RESOLUTE FP CANADA INC. - LAURENTIDE;322121;QC;NA - 22;Phosphorus (total);Phosphore (total);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;3.03;tonnes;M3
2013;2587;USINE LAURENTIDE;RESOLUTE FP CANADA INC. - LAURENTIDE;322121;QC;NA - 09;Manganese (and its compounds);Manganèse (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;5.468;tonnes;E2
2013;2587;USINE LAURENTIDE;RESOLUTE FP CANADA INC. - LAURENTIDE;322121;QC;NA - 02;Arsenic (and its compounds);Arsenic (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;8.9;kg;E1
2013;2587;USINE LAURENTIDE;RESOLUTE FP CANADA INC. - LAURENTIDE;322121;QC;67-56-1;Methanol;Méthanol;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.19;tonnes;E2
2013;2587;USINE LAURENTIDE;RESOLUTE FP CANADA INC. - LAURENTIDE;322121;QC;NA - 10;Mercury (and its compounds);Mercure (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.011;kg;E2
2013;2587;USINE LAURENTIDE;RESOLUTE FP CANADA INC. - LAURENTIDE;322121;QC;NA - 03;Cadmium (and its compounds);Cadmium (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;13.016;kg;E2
2013;2791;USINE MONT-WRIGHT;DYNO NOBEL CANADA INC.;325110;QC;NA - 16;Ammonia (total);Ammoniac (total);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;2.36;tonnes;C
2013;2791;USINE MONT-WRIGHT;DYNO NOBEL CANADA INC.;325110;QC;NA - 17;Nitrate ion in solution at pH >= 6.0;Nitrate (ion en sol. à un pH de >= 6.0);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;7.2;tonnes;C
2013;2852;ORICA BROWNSBURG;ORICA CANADA INC.;325920;QC;NA - 08;Lead (and its compounds);Plomb (et ses composés);Releases to Water;Rejets dans les plans d'eau;Spills;Déversements;0;kg;C
2013;2935;COMPLEXE MINIER KIENA;MINES D'OR WESDOME LIMITÉE;212220;QC;74-90-8;Hydrogen cyanide;Cyanure d'hydrogène;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.0034;tonnes;M3
2013;2935;COMPLEXE MINIER KIENA;MINES D'OR WESDOME LIMITÉE;212220;QC;NA - 14;Zinc (and its compounds);Zinc (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.0031;tonnes;M3
2013;2935;COMPLEXE MINIER KIENA;MINES D'OR WESDOME LIMITÉE;212220;QC;NA - 04;Chromium (and its compounds);Chrome (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.0008;tonnes;M3
2013;2935;COMPLEXE MINIER KIENA;MINES D'OR WESDOME LIMITÉE;212220;QC;NA - 03;Cadmium (and its compounds);Cadmium (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.045;kg;M3
2013;2935;COMPLEXE MINIER KIENA;MINES D'OR WESDOME LIMITÉE;212220;QC;NA - 05;Cobalt (and its compounds);Cobalt (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.0034;tonnes;M3
2013;2935;COMPLEXE MINIER KIENA;MINES D'OR WESDOME LIMITÉE;212220;QC;NA - 06;Copper (and its compounds);Cuivre (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.0007;tonnes;M3
2013;2935;COMPLEXE MINIER KIENA;MINES D'OR WESDOME LIMITÉE;212220;QC;NA - 07;Cyanides (ionic);Cyanures (ioniques);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.0033;tonnes;M3
2013;2935;COMPLEXE MINIER KIENA;MINES D'OR WESDOME LIMITÉE;212220;QC;NA - 08;Lead (and its compounds);Plomb (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.094;kg;M3
2013;2935;COMPLEXE MINIER KIENA;MINES D'OR WESDOME LIMITÉE;212220;QC;NA - 17;Nitrate ion in solution at pH >= 6.0;Nitrate (ion en sol. à un pH de >= 6.0);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;1.1016;tonnes;M3
2013;2935;COMPLEXE MINIER KIENA;MINES D'OR WESDOME LIMITÉE;212220;QC;NA - 09;Manganese (and its compounds);Manganèse (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.0486;tonnes;M3
2013;2935;COMPLEXE MINIER KIENA;MINES D'OR WESDOME LIMITÉE;212220;QC;NA - 16;Ammonia (total);Ammoniac (total);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.3065;tonnes;M3
2013;2935;COMPLEXE MINIER KIENA;MINES D'OR WESDOME LIMITÉE;212220;QC;NA - 13;Silver (and its compounds);Argent (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.0002;tonnes;M3
2013;2935;COMPLEXE MINIER KIENA;MINES D'OR WESDOME LIMITÉE;212220;QC;NA - 11;Nickel (and its compounds);Nickel (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.0115;tonnes;M3
2013;2935;COMPLEXE MINIER KIENA;MINES D'OR WESDOME LIMITÉE;212220;QC;NA - 10;Mercury (and its compounds);Mercure (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.032;kg;M3
2013;2938;SOCIÉTÉ EN COMMANDITE REVENU NORANDA - VALLEYFIELD;SOCIÉTÉ EN COMMANDITE REVENU NORANDA;331410;QC;NA - 02;Arsenic (and its compounds);Arsenic (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;2.62;kg;M1
2013;2938;SOCIÉTÉ EN COMMANDITE REVENU NORANDA - VALLEYFIELD;SOCIÉTÉ EN COMMANDITE REVENU NORANDA;331410;QC;NA - 14;Zinc (and its compounds);Zinc (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;3.07;tonnes;M1
2013;2938;SOCIÉTÉ EN COMMANDITE REVENU NORANDA - VALLEYFIELD;SOCIÉTÉ EN COMMANDITE REVENU NORANDA;331410;QC;NA - 06;Copper (and its compounds);Cuivre (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.19;tonnes;M1
2013;2938;SOCIÉTÉ EN COMMANDITE REVENU NORANDA - VALLEYFIELD;SOCIÉTÉ EN COMMANDITE REVENU NORANDA;331410;QC;NA - 03;Cadmium (and its compounds);Cadmium (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;37.29;kg;M1
2013;2938;SOCIÉTÉ EN COMMANDITE REVENU NORANDA - VALLEYFIELD;SOCIÉTÉ EN COMMANDITE REVENU NORANDA;331410;QC;NA - 08;Lead (and its compounds);Plomb (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;135.91;kg;M1
2013;2938;SOCIÉTÉ EN COMMANDITE REVENU NORANDA - VALLEYFIELD;SOCIÉTÉ EN COMMANDITE REVENU NORANDA;331410;QC;NA - 10;Mercury (and its compounds);Mercure (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;1.4;kg;M1
2013;2938;SOCIÉTÉ EN COMMANDITE REVENU NORANDA - VALLEYFIELD;SOCIÉTÉ EN COMMANDITE REVENU NORANDA;331410;QC;NA - 12;Selenium (and its compounds);Sélénium (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;309.44;kg;M1
2013;2948;SITE DE TÉMISCAMING;TEMBEC;322112;QC;108-95-2;Phenol (and its salts);Phénol (et ses sels);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.204;tonnes;E2
2013;2948;SITE DE TÉMISCAMING;TEMBEC;322112;QC;NA - 10;Mercury (and its compounds);Mercure (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;2.994;kg;M3
2013;2948;SITE DE TÉMISCAMING;TEMBEC;322112;QC;NA - 09;Manganese (and its compounds);Manganèse (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;49.408;tonnes;M3
2013;2948;SITE DE TÉMISCAMING;TEMBEC;322112;QC;50-00-0;Formaldehyde;Formaldéhyde;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;13.475;tonnes;E2
2013;2948;SITE DE TÉMISCAMING;TEMBEC;322112;QC;78-93-3;Methyl ethyl ketone;Méthyléthylcétone;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.008;tonnes;E2
2013;2948;SITE DE TÉMISCAMING;TEMBEC;322112;QC;NA - 08;Lead (and its compounds);Plomb (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;95;kg;M3
2013;2948;SITE DE TÉMISCAMING;TEMBEC;322112;QC;NA - 03;Cadmium (and its compounds);Cadmium (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;14.972;kg;M3
2013;2948;SITE DE TÉMISCAMING;TEMBEC;322112;QC;67-56-1;Methanol;Méthanol;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.019;tonnes;E2
2013;2948;SITE DE TÉMISCAMING;TEMBEC;322112;QC;NA - 16;Ammonia (total);Ammoniac (total);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;10.555;tonnes;M3
2013;2948;SITE DE TÉMISCAMING;TEMBEC;322112;QC;NA - 19;Hexavalent chromium (and its compounds);Chrome hexavalent (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;38.029;kg;M3
2013;2948;SITE DE TÉMISCAMING;TEMBEC;322112;QC;NA - 22;Phosphorus (total);Phosphore (total);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;5.403;tonnes;M3
2013;2948;SITE DE TÉMISCAMING;TEMBEC;322112;QC;75-07-0;Acetaldehyde;Acétaldéhyde;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;2.306;tonnes;E2
2013;2948;SITE DE TÉMISCAMING;TEMBEC;322112;QC;NA - 02;Arsenic (and its compounds);Arsenic (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;29.94;kg;M3
2013;2948;SITE DE TÉMISCAMING;TEMBEC;322112;QC;108-10-1;Methyl isobutyl ketone;Méthylisobutylecétone;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.039;tonnes;E2
2013;2986;ARCELORMITTAL CONTRECOEUR OUEST;ARCELORMITTAL MONTRÉAL INC.;331110;QC;NA - 02;Arsenic (and its compounds);Arsenic (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;5.12;kg;M3
2013;2986;ARCELORMITTAL CONTRECOEUR OUEST;ARCELORMITTAL MONTRÉAL INC.;331110;QC;NA - 09;Manganese (and its compounds);Manganèse (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.149;tonnes;M3
2013;2986;ARCELORMITTAL CONTRECOEUR OUEST;ARCELORMITTAL MONTRÉAL INC.;331110;QC;NA - 06;Copper (and its compounds);Cuivre (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.041;tonnes;M3
2013;2986;ARCELORMITTAL CONTRECOEUR OUEST;ARCELORMITTAL MONTRÉAL INC.;331110;QC;NA - 03;Cadmium (and its compounds);Cadmium (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;1.42;kg;M3
2013;2986;ARCELORMITTAL CONTRECOEUR OUEST;ARCELORMITTAL MONTRÉAL INC.;331110;QC;NA - 08;Lead (and its compounds);Plomb (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;35.232;kg;M3
2013;2986;ARCELORMITTAL CONTRECOEUR OUEST;ARCELORMITTAL MONTRÉAL INC.;331110;QC;NA - 14;Zinc (and its compounds);Zinc (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.196;tonnes;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;50-32-8;Benzo(a)pyrene - PAH;Benzo(a)pyrène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.52;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;53-70-3;Dibenzo(a,h)anthracene - PAH;Dibenz(a,h)anthracène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.26;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;56-55-3;Benzo(a)anthracene - PAH;Benzo(a)anthracène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.34;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;1985-01-08;Phenanthrene - PAH;Phénanthrène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.12;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;192-65-4;Dibenzo(a,e)pyrene - PAH;Dibenzo(a,e)pyrène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.1;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;189-64-0;Dibenzo(a,h)pyrene - PAH;Dibenzo(a,h)pyrène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.15;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;193-39-5;Indeno(1,2,3-CD)pyrene - PAH;Indeno(1,2,3-c,d)pyrène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.51;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;129-00-0;Pyrene - PAH;Pyrène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.33;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;120-12-7;Anthracene;Anthracène;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.01;tonnes;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;86-73-7;Fluorene - PAH;Fluorène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.02;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;218-01-9;Benzo(a)phenanthrene - PAH;Benzo(a)phénanthrène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;1.24;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;207-08-9;Benzo(k)fluoranthene - PAH;Benzo(k)fluoranthène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.11;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;206-44-0;Fluoranthene - PAH;Fluoranthène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.32;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;205-99-2;Benzo(b)fluoranthene - PAH;Benzo(b)fluoranthène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.33;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;205-82-3;Benzo(j)fluoranthene - PAH;Benzo(j)fluoranthène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.1;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;189-55-9;Dibenzo(a,i)pyrene - PAH;Dibenzo(a,i)pyrène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.15;kg;M3
2013;3057;USINE SHAWINIGAN;RIO TINTO ALCAN;331313;QC;129-00-0;Pyrene - PAH;Pyrène - HAP;Releases to Water;Rejets dans les plans d'eau;Spills;Déversements;0;kg;M3
2013;3060;USINE LATERRIÈRE;RIO TINTO ALCAN;331313;QC;120-12-7;Anthracene;Anthracène;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0;tonnes;M3
2013;3062;USINE GRANDE-BAIE;RIO TINTO ALCAN;331313;QC;218-01-9;Benzo(a)phenanthrene - PAH;Benzo(a)phénanthrène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.01;kg;M3
2013;3140;USINE DE LA TUQUE;COMPAGNIE ROCKTENN CANADA INC.;322130;QC;NA - 16;Ammonia (total);Ammoniac (total);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;30.2;tonnes;M3
2013;3140;USINE DE LA TUQUE;COMPAGNIE ROCKTENN CANADA INC.;322130;QC;NA - 10;Mercury (and its compounds);Mercure (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;1.6;kg;E2
2013;3140;USINE DE LA TUQUE;COMPAGNIE ROCKTENN CANADA INC.;322130;QC;NA - 09;Manganese (and its compounds);Manganèse (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;33.88;tonnes;E1
2013;3140;USINE DE LA TUQUE;COMPAGNIE ROCKTENN CANADA INC.;322130;QC;NA - 08;Lead (and its compounds);Plomb (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;45;kg;M3
2013;3140;USINE DE LA TUQUE;COMPAGNIE ROCKTENN CANADA INC.;322130;QC;NA - 03;Cadmium (and its compounds);Cadmium (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0;kg;E1
2013;3140;USINE DE LA TUQUE;COMPAGNIE ROCKTENN CANADA INC.;322130;QC;NA - 17;Nitrate ion in solution at pH >= 6.0;Nitrate (ion en sol. à un pH de >= 6.0);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;19.715;tonnes;E1
2013;3140;USINE DE LA TUQUE;COMPAGNIE ROCKTENN CANADA INC.;322130;QC;NA - M14;Total Reduced Sulphur (TRS);Soufre réduit total (SRT);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.548;tonnes;E2
2013;3140;USINE DE LA TUQUE;COMPAGNIE ROCKTENN CANADA INC.;322130;QC;107-21-1;Ethylene glycol;Éthylèneglycol;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.003;tonnes;O
2013;3140;USINE DE LA TUQUE;COMPAGNIE ROCKTENN CANADA INC.;322130;QC;7783-06-04;Hydrogen sulphide;Sulfure d'hydrogène;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.548;tonnes;E1
2013;3140;USINE DE LA TUQUE;COMPAGNIE ROCKTENN CANADA INC.;322130;QC;NA - 02;Arsenic (and its compounds);Arsenic (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;62;kg;M3
2013;3140;USINE DE LA TUQUE;COMPAGNIE ROCKTENN CANADA INC.;322130;QC;NA - 22;Phosphorus (total);Phosphore (total);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;3.9;tonnes;E1
2013;3242;FIBREK SENC;FIBREK S.E.N.C.;322112;QC;50-00-0;Formaldehyde;Formaldéhyde;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;1.534;tonnes;E2
2013;3242;FIBREK SENC;FIBREK S.E.N.C.;322112;QC;NA - 09;Manganese (and its compounds);Manganèse (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;49.153;tonnes;M3
2013;3242;FIBREK SENC;FIBREK S.E.N.C.;322112;QC;NA - 08;Lead (and its compounds);Plomb (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;19.71;kg;M3
2013;3242;FIBREK SENC;FIBREK S.E.N.C.;322112;QC;67-56-1;Methanol;Méthanol;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;4.476;tonnes;M3
2013;3242;FIBREK SENC;FIBREK S.E.N.C.;322112;QC;NA - 12;Selenium (and its compounds);Sélénium (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;2;kg;E2
2013;3242;FIBREK SENC;FIBREK S.E.N.C.;322112;QC;NA - 16;Ammonia (total);Ammoniac (total);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;35.134;tonnes;M3
2013;3242;FIBREK SENC;FIBREK S.E.N.C.;322112;QC;NA - 22;Phosphorus (total);Phosphore (total);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;26.542;tonnes;M3
2013;3242;FIBREK SENC;FIBREK S.E.N.C.;322112;QC;NA - 19;Hexavalent chromium (and its compounds);Chrome hexavalent (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;112;kg;M3
2013;3242;FIBREK SENC;FIBREK S.E.N.C.;322112;QC;NA - 14;Zinc (and its compounds);Zinc (et ses composés);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;2.359;tonnes;M3
2013;3242;FIBREK SENC;FIBREK S.E.N.C.;322112;QC;NA - M14;Total Reduced Sulphur (TRS);Soufre réduit total (SRT);Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;13.209;tonnes;M3
2013;3242;FIBREK SENC;FIBREK S.E.N.C.;322112;QC;NA - D/F;Dioxins and furans - total;Dioxines et furanes - totales;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.0548;g_teq_et;M3 AL
2013;3406;USINE ARVIDA;RIO TINTO ALCAN;331313;QC;205-99-2;Benzo(b)fluoranthene - PAH;Benzo(b)fluoranthène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.225;kg;M3
2013;3406;USINE ARVIDA;RIO TINTO ALCAN;331313;QC;206-44-0;Fluoranthene - PAH;Fluoranthène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.647;kg;M3
2013;3406;USINE ARVIDA;RIO TINTO ALCAN;331313;QC;193-39-5;Indeno(1,2,3-CD)pyrene - PAH;Indeno(1,2,3-c,d)pyrène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.32;kg;M3
2013;3406;USINE ARVIDA;RIO TINTO ALCAN;331313;QC;207-08-9;Benzo(k)fluoranthene - PAH;Benzo(k)fluoranthène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.225;kg;M3
2013;3406;USINE ARVIDA;RIO TINTO ALCAN;331313;QC;218-01-9;Benzo(a)phenanthrene - PAH;Benzo(a)phénanthrène - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.389;kg;M3
2013;3406;USINE ARVIDA;RIO TINTO ALCAN;331313;QC;224-42-0;Dibenz(a,j)acridine - PAH;Dibenz(a,j)acridine - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.192;kg;M3
2013;3406;USINE ARVIDA;RIO TINTO ALCAN;331313;QC;226-36-8;Dibenz(a,h)acridine - PAH;Dibenz(a,h)acridine - HAP;Releases to Water;Rejets dans les plans d'eau;Direct Discharges;Évacuation directes;0.173;kg;M3
