Year of last filed report / L'année de la déclaration la plus récente;NPRI ID / ID INRP;Company Name / Raison Sociale;Facility Name / Nom de l'installation;Address line 1 / Première ligne d’adresse;Address line 2 / Deuxième ligne d’adresse;City / Ville;Province / Province;Postal Code / Code postal;Physical Land Survey Description / Description de l'arpentage;Physical National Topographical Description / Description topographique nationale;Latitude / Latitude;Longitude / Longitude;Datum / Datum;Key Industrial Sector Code / Code des Secteurs industriels clés;Key Industrial Sector (English) / Secteurs industriels clés (Anglais);Key Industrial Sector (French) / Secteurs industriels clés (Français);Census Sub Division Unique ID / No unique de la Subdivision de recensement (SDR);Census Sub Division / Nom de la Subdivision de recensement (SDR);Census Metropolitan Area Unique ID / No unique de la Région métropolitaine de recensement;Census Metropolitan Area / Nom de la Région métropolitaine de recensement;Economic Region Unique ID / No unique de la Région économique;Economic Region Name / Nom de la  Région économique;Unique Ecozone ID / No unique de l’Écozone;English Ecozone Name / Nom englais de l’Écozone;French Ecozone Name / Nom français de l’Écozone;Unique ID of the Major Drainage Area from the Water Survey of Canada (WSC) / No unique de l’aire de drainage principale des Relevés hydrologiques du Canada (RHC);Major Drainage Area English Name / Nom englais de l’aire de drainage principale ;Major Drainage Area French Name / Nom français de l’aire de drainage principale 
2005;5405;BRAKE PARTS CANADA INC;GROUPE BRAKE PARTS CANADA INC. - MONTRÉAL;10 500 Colbert;;Anjou;QC;H1J2H8;;;45.6136;-73.5825;1983;15;Transportation Equipment Mfg.;Fabrication de matériel de transport;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2012;5406;COMPAGNIE ROCKTENN DU CANADA INC.;USINE DE MATANE;90 Industriel Boulevard;;Matane;QC;G4W3M9;;;48.8372;-67.5481;1983;14;Pulp and Paper;Pâte à papier et papier;2408053;Matane;403;Matane;2415;Bas-Saint-Laurent;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2002;5407;EMBALLAGE ST-JEAN LTÉE;USINE DE ST-JEAN-SUR-RICHELIEU;350 St-Michel;;St-Jean-sur-Richelieu;QC;J3B 1T4;;;45.3147;-73.2692;1983;13;Plastics and Rubber;Plastiques et caoutchouc;2456083;Saint-Jean-sur-Richelieu;459;Saint-Jean-sur-Richelieu;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5408;Emballage St-Jean Ltée.;EMBALLAGE JT - MONTREAL;12565 Industriel Boulevard;;Pointe-aux-Trembles Montréal;QC;H1B5M7;;;45.652988;-73.517804;1983;13;Plastics and Rubber;Plastiques et caoutchouc;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5409;Les Produits Non-ferreux Gauthier Inc.;LES PRODUITS NON-FERREUX GAUTHIER - MONTRÉAL;12355 April;;Montréal;QC;H1B5L8;;;45.6499;-73.5153;1983;7;Metals (Except Aluminum and Iron and Steel);Métaux (sauf aluminium et fer et acier);2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2011;5411;GROUPE CANAM INC.;BOUCHERVILLE;200 Boulevard Industriel Nord;;Boucherville;QC;J4B2X4;;;45.5791;-73.4533;1983;5;Iron and Steel;Fer et acier;2458033;Boucherville;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2004;5412;GROUPE CANAM INC.;LAVAL;807, rue Marshall;;Laval;QC;H7S1J9;;;45.5764;-73.7197;1983;5;Iron and Steel;Fer et acier;2465005;Laval;462;Montréal;2445;Laval;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5413;Groupe Canam inc.;Québec;1445 du Grand Tronc Rue Est;;Québec;QC;G1N4G1;;;46.8038;-71.2855;1983;5;Iron and Steel;Fer et acier;2423027;Québec;421;Québec;2420;Capitale-Nationale;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5414;Bois KMS (GMI) LTEE;BOIS KMS (GMI) LTEE;2549 Chemin Francisco;;RIVIERE-ROUGE;QC;J0T1T0;;;46.3894;-74.8378;1983;19;Wood Products;Produits en bois;2479037;Rivière-Rouge;;;2455;Laurentides;6;Boreal Shield;Bouclier boréal;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5418;Le groupe Cabico Inc.;Cuisine Cabi-Plus division du Groupe Cabico Inc.;677 Akhurst;;Coaticook;QC;J1A0B4;;;45.1155;-71.8042;1983;6;Other Manufacturing;Autres fabrication;2444037;Coaticook;;;2430;Estrie;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2013;5420;BLUE MOUNTAIN WALLCOVERINGS INC.;USINE SHERBROOKE;700 Woodward;;Sherbrooke;QC;J1G1W3;;;45.3979;-71.873;1983;6;Other Manufacturing;Autres fabrication;2443027;Sherbrooke;433;Sherbrooke;2430;Estrie;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2007;5421;SAFETY-KLEEN CANADA INC.;CENTRE DE RECYCLAGE DE CHAMBLY;2730 Boul. Industriel;;Chambly;QC;J3L4V2;;;45.3491;-73.5222;1983;17;Waste Treatment and Disposal;Traitement et élimination des déchets;2467035;Saint-Constant;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5422;American Iron & Metal Company Inc.;AMERICAN IRON&METAL;9100  Henri Bourassa;;Montréal;QC;H1E2S4;;;45.6354;-73.5627;1983;6;Other Manufacturing;Autres fabrication;2466007;Montréal-Est;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5423;Duchesne et Fils Ltée.;Manufacturier et distributeur matériaux construction;871  Duchesne;;Yamachiche;QC;G0X3L0;;;46.2864;-72.8353;1983;6;Other Manufacturing;Autres fabrication;2451020;Yamachiche;;;2470;Mauricie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2002;5424;SPORT MASKA -  COWANSVILLE;SPORT MASKA INC.;585 boul. Jean-Jacques Bertrand;;Cowansville;QC;J2K 3Y8;;;45.1939;-72.7617;1983;6;Other Manufacturing;Autres fabrication;2446080;Cowansville;437;Cowansville;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2002;5425;SPORT MASKA - DRUMMONDVILLE;SPORT MASKA INC.;2155 rue du Canadien;;Drummondville;QC;J2C 7V8;;;45.8844;-72.5406;1983;6;Other Manufacturing;Autres fabrication;2449058;Drummondville;447;Drummondville;2433;Centre-du-Québec;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5426;groupe Dutailier inc;Dutailier inc;298 chaput;;St-Pie de Bagot;QC;J0H 1W0;;;45.5055;-72.8964;1983;6;Other Manufacturing;Autres fabrication;2454008;Saint-Pie;;;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5427;Danone Inc.;Danone inc.;100 de Lauzon;;Boucherville;QC;J4B1E6;;;45.5777;-73.4555;1983;6;Other Manufacturing;Autres fabrication;2458033;Boucherville;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à foréts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2008;5428;DISQUE AMÉRIC;DRUMMONDVILLE;2525, rue Canadien;;Drummondville;QC;J2C7W2;;;45.8794;-72.5455;1983;;;;2449058;Drummondville;447;Drummondville;2433;Centre-du-Québec;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5429;Tembec, Division résine, usine Longueuil;Tembec, division résine, usine Longueuil;2525  Jean Désy;;Longueuil;QC;J4G1G6;;;45.570996;-73.458055;1983;3;Chemicals;Produits chimiques;2458227;Longueuil;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2008;5430;3IO CORP;TROIS-PISTOLES;62 rue du sault;;Riviere Trois-Pistoles;QC;G0L2E0;;;48.085;-69.1831;1983;;;;2411045;Notre-Dame-des-Neiges;;;2415;Bas-Saint-Laurent;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5435;Polypack;POLYPACK - ANJOU;7900 Jarry Street;;Anjou;QC;H1J1H1;;;45.6108;-73.5667;1983;6;Other Manufacturing;Autres fabrication;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5436;Balcan Plastics;ST LEONARD 9340;9340 Meaux;;Saint-Léonard;QC;H1R3H2;;;45.585103;-73.624926;1983;13;Plastics and Rubber;Plastiques et caoutchouc;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5437;CertainTeed Gypsum Canada, Inc.;Montreal Wallboard/Finishing Plant;700 1st Avenue;;Sainte-Catherine;QC;J5C1C5;;;45.4045;-73.5889;1983;2;Cement, Lime and Other Non-Metallic Minerals;Ciment, chaux et autres produits minéraux non métalliques;2467030;Sainte-Catherine;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5438;L'Oréal Canada Inc.;Usine St-Laurent;4895 Hickmore;;Saint-Laurent;QC;H4T1K5;;;45.471019;-73.697426;1983;3;Chemicals;Produits chimiques;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2008;5439;JONERGIN;JONERGIN;6200 Grande Allée;;St-Hubert;QC;J3Y1B6;;;45.4684;-73.432;1983;;;;2458227;Longueuil;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2007;5440;SAFETY-KLEEN CANADA INC.;CENTRE DE TRANSFERT DE BOUCHERVILLE;1455 de Coulomb;;Boucherville;QC;J4B7L8;;;45.5598;-73.4345;1983;17;Waste Treatment and Disposal;Traitement et élimination des déchets;2458033;Boucherville;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5441;2750-9264 Québec Inc.;Produits Chimiques Citadel;3391 Route 157 Route Est;;Notre Dame du mont carmel;QC;G0X3J0;;;46.47317;-72.6644;1983;3;Chemicals;Produits chimiques;2437235;Notre-Dame-du-Mont-Carmel;;;2470;Mauricie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2007;5442;UNIBOARD CANADA;MDF LA BAIE INC.;5373 Chemin St-Anicet;C.P. 1053;La Baie;QC;G7B3P2;;;48.3269;-70.9552;1983;19;Wood Products;Produits en bois;2494068;Saguenay;408;Saguenay;2475;Saguenay - Lac-Saint-Jean;6;Boreal Shield;Bouclier boréal;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5443;Anachemia Canada Co;Anachemia Canada Co;255 Norman Street;;Lachine;QC;H8R 1A3;;;45.448744;-73.659629;1983;3;Chemicals;Produits chimiques;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2009;5444;TRANSCAM COMPOSITES;ACTON VALE;1550 R.R. #2;;Acton Vale;QC;J0H1A0;;;45.6316;-72.5745;1983;15;Transportation Equipment Mfg.;Fabrication de matériel de transport;2448028;Acton Vale;;;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5445;Dupont Canada;E.I. DuPont Canada - Thetford Inc.;1045 Monfette est;;Thetford Mines;QC;G6G7K7;;;46.1108;-71.2955;1983;6;Other Manufacturing;Autres fabrication;2431084;Thetford Mines;430;Thetford Mines;2425;Chaudière - Appalaches;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2004;5446;KEMIRA CHEMICALS CANADA INC;N/A;19400, Avenue Clark-Graham;;Montréal (Baie d'Urfé);QC;H9X3R8;;;45.4243;-73.9071;1983;3;Chemicals;Produits chimiques;2466112;Baie-D'Urfé;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2006;5447;MAAX CANADA INC.;MAAX LAVAL;5555, Boul . des Rossignols;;Laval;QC;H7L5S7;;;45.5884;-73.7703;1983;6;Other Manufacturing;Autres fabrication;2465005;Laval;462;Montréal;2445;Laval;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5448;Glencore Canada Corporation DUPLICATE???;Mine Raglan;0 - 120 de l'Aéroport Avenue;;Rouyn-Noranda;QC;J9X5B7;;;61.6916;-73.6666;1983;8;Mining and Quarrying;Extraction minière et exploitation en carrière;2499902;Rivière-Koksoak;;;2490;Nord-du-Québec;2;Northern Arctic;Haut-Arctique;3;Northern Québec and Labrador Drainage Area;Aire de drainage du Nord du Québec et du Labrador
2012;5449;CLEAN HARBORS CANADA, INC.;CLEAN HARBORS MERCIER, INC.;1294 Boulevard Sainte-Marguerite;;Mercier;QC;J6R2L1;;;45.2868;-73.7314;1983;17;Waste Treatment and Disposal;Traitement et élimination des déchets;2467045;Mercier;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5450;PCAS Canada;PCAS Canada - ST-JEAN-SUR-RICHELIEU;725  Trotter;;St-Jean-sur-Richelieu;QC;J3B8J8;;;45.323502;-73.287842;1983;3;Chemicals;Produits chimiques;2456083;Saint-Jean-sur-Richelieu;459;Saint-Jean-sur-Richelieu;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5453;Bridgestone  Canada inc.;Usine de Joliette;1200  Firestone Boulevard;;Joliette;QC;J6E2W5;;;46.0374;-73.4208;1983;13;Plastics and Rubber;Plastiques et caoutchouc;2461025;Joliette;456;Joliette;2450;Lanaudière;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5454;Clean Harbors Canada, Inc.;Clean Harbors Québec, LLC.;6785 Route 132;;Sainte-Catherine;QC;J5C1B6;;;45.3939;-73.5985;1983;17;Waste Treatment and Disposal;Traitement et élimination des déchets;2467030;Sainte-Catherine;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2013;5455;Clean Harbors Canada, Inc.;Clean Harbors Québec, Inc.;400 Galipeau;;Thurso;QC;J0X3B0;;;45.6102;-75.2416;1983;17;Waste Treatment and Disposal;Traitement et élimination des déchets;2480050;Thurso;;;2460;Outaouais;6;Boreal Shield;Bouclier boréal;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5456;Polissage et Placage G.G. Inc.;Polissage et Placage GG;907 Taschereau;;Longueuil;QC;J4K2X2;;;45.515899;-73.509033;1983;6;Other Manufacturing;Autres fabrication;2458227;Longueuil;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2013;5457;PEINTURE MICCA INC.;LAVAL;1740 St. Elzear;;Laval;QC;H7L3N2;;;45.5849;-73.7475;1983;3;Chemicals;Produits chimiques;2465005;Laval;462;Montréal;2445;Laval;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2007;5458;L.F.P./ FABRICANT DE MEUBLES EN BOIS;L.F.P. CANADA INC.;830 rue St-Pierre  Sud;;Joliette;QC;J6E8R7;;;46.0112;-73.433;1983;6;Other Manufacturing;Autres fabrication;2461025;Joliette;456;Joliette;2450;Lanaudière;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5459;Mines Wabush;Mines Wabush - Sept-Iles;1505 Chemin de la Pointe Noire;;Sept-Îles;QC;G4R4L4;;;50.1616;-66.4838;1983;8;Mining and Quarrying;Extraction minière et exploitation en carrière;2497007;Sept-Îles;412;Sept-Îles;2480;Côte-Nord;6;Boreal Shield;Bouclier boréal;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2002;5461;GROUPE BRAKE PARTS CANADA INC. - ANJOU;USINE D'ASSEMBLAGE DE SABOTS DE FREINS;10700, Colbert;;Anjou;QC;H1J 2H8;;;45.6144;-73.5835;1983;15;Transportation Equipment Mfg.;Fabrication de matériel de transport;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2002;5462;ADS COMPOSITES;PULTRALL;1191 RUE HUPPÉ;;THETFORD MINES;QC;G6G 7Y6;;;46.1093;-71.2931;1983;13;Plastics and Rubber;Plastiques et caoutchouc;2431084;Thetford Mines;430;Thetford Mines;2425;Chaudière - Appalaches;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2013;5463;BOMBARDIER INC.;CENTRE DE FINITION MONTRÉAL;200  Côte Vertu;;Dorval;QC;H4S2A3;;;45.4787;-73.7228;1983;15;Transportation Equipment Mfg.;Fabrication de matériel de transport;2466087;Dorval;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5464;First Quantum Minerals LTD;Division Troilus;100 Chemin de la mine Troilus;;Chibougamau;QC;G8P3A9;;;51.005;-74.4586;1983;8;Mining and Quarrying;Extraction minière et exploitation en carrière;2499060;Baie-James;;;2490;Nord-du-Québec;6;Boreal Shield;Bouclier boréal;3;Northern Québec and Labrador Drainage Area;Aire de drainage du Nord du Québec et du Labrador
2014;5465;Le groupe Cabico Inc.;Cuisine Frontière division du Groupe Cabico Inc.;690 Akhurst;;Coaticook;QC;J1A0B3;;;45.1135;-71.8048;1983;6;Other Manufacturing;Autres fabrication;2444037;Coaticook;;;2430;Estrie;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2010;5466;FOAMEX INNOVATIONS CANADA INC.;FXI - MONTRÉAL;8350 Jeanne-Mance;;Montréal;QC;H2P2Y1;;;45.535;-73.6392;1983;13;Plastics and Rubber;Plastiques et caoutchouc;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2013;5467;Imprimeries Transcontinental Inc.;Transcontinental LaSalle;7743 Bourdeau Street;;LaSalle;QC;H8N2G8;;;45.431384;-73.611113;1983;6;Other Manufacturing;Autres fabrication;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2002;5468;TORQUEST;RÉSERVOIRS D'ACIER GRANBY, SOCIÉTÉ EN COMMANDITE;1020 André-Liné;;Granby;QC;J2J 1J9;;;45.383;-72.7738;1983;6;Other Manufacturing;Autres fabrication;2447015;Granby;450;Granby;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2012;5469;INDUSTRIES DETTSON INC.;INDUSTRIES DETTSON INC;3400 Boulevard industriel Boulevard Nord;;Sherbrooke;QC;J1L1V8;;;45.4078;-71.9631;1983;6;Other Manufacturing;Autres fabrication;2443027;Sherbrooke;433;Sherbrooke;2430;Estrie;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2003;5470;INTERTAPE POLYMER GROUP;IPG MONTREAL;4975 Fisher;;St. Laurent;QC;H4T 1J8;;;45.4704;-73.6981;1983;13;Plastics and Rubber;Plastiques et caoutchouc;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5471;Papiers de publication Kruger inc.;Usine de Brompton, Sherbrooke;220 de Windsor Route;;Sherbrooke;QC;J1C0E6;;;45.4807;-71.9541;1983;14;Pulp and Paper;Pâte à papier et papier;2443027;Sherbrooke;433;Sherbrooke;2430;Estrie;7;Atlantic Maritime;Maritime de l'Atlantique;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5472;Kruger Inc;Emballages Krupack Place Turcot;5845 Place Turcot;;Montréal;QC;H4C1V9;;;45.462539;-73.605491;1983;14;Pulp and Paper;Pâte à papier et papier;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5473;Parmalat Canada Inc.;Victoriaville;75 Pierre-Roux Boulevard East;;Victoriaville;QC;G6T1S8;;;46.0663;-71.9706;1983;6;Other Manufacturing;Autres fabrication;2439062;Victoriaville;440;Victoriaville;2433;Centre-du-Québec;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5474;Lafarge Canada Inc.;Cimenterie de Saint-Constant;1 Lafarge Road;;Saint-Constant;QC;J5A2G4;;;45.3386;-73.5218;1983;2;Cement, Lime and Other Non-Metallic Minerals;Ciment, chaux et autres produits minéraux non métalliques;2467035;Saint-Constant;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2002;5475;LAGRAN CANADA INC.;TISSUS ÉTROITS;386 Dorchester;;Granby;QC;J2G 3Z7;;;45.3926;-72.7331;1983;15;Transportation Equipment Mfg.;Fabrication de matériel de transport;2447015;Granby;450;Granby;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2007;5476;LES ENTREPRISES MICHEL CORBEIL;LES ENTREPRISES MICHEL CORBEIL;304, 12e avenue;;Ville des Laurentides;QC;J0R1C0;;;45.8485;-73.7508;1983;15;Transportation Equipment Mfg.;Fabrication de matériel de transport;2463048;Saint-Lin--Laurentides;;;2450;Lanaudière;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5477;Saputo Produits Laitiers Canada s.e.n.c.;Mont-Laurier;1485 Paquette;;Mont Laurier;QC;J8L1M8;;;46.553002;-75.468371;1983;6;Other Manufacturing;Autres fabrication;2479088;Mont-Laurier;;;2455;Laurentides;6;Boreal Shield;Bouclier boréal;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5478;Saputo Produits Laitiers Canada s.e.n.c.;Usine St-Hyacinthe;1195 Johnson;;Saint-Hyacinthe;QC;J2S7Y6;;;45.646;-72.9578;1983;6;Other Manufacturing;Autres fabrication;2454048;Saint-Hyacinthe;452;Saint-Hyacinthe;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5479;Saputo Produits Laitiers Canada s.e.n.c.;Usine St-Leonard;6869 Metropolitain;;Saint-Léonard;QC;H1P1X8;;;45.597468;-73.575182;1983;6;Other Manufacturing;Autres fabrication;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2007;5480;CASCADES CANADA;CASCADES FJORDCELL;4008 Chemin St-André;;Jonquière;QC;G7S5X3;;;48.4355;-71.2537;1983;;;;2494068;Saguenay;408;Saguenay;2475;Saguenay - Lac-Saint-Jean;6;Boreal Shield;Bouclier boréal;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5481;Messier-Dowty inc. (Messier-Bugatti-Dowty);Messier-Dowty inc. (Messier-Bugatti-Dowty);13000 du Parc Rue;;Mirabel;QC;J7J1P3;;;45.6924;-73.9324;1983;15;Transportation Equipment Mfg.;Fabrication de matériel de transport;2474005;Mirabel;462;Montréal;2455;Laurentides;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2010;5482;OWENS CORNING;OC CELFORTEC LP;542 Gaétan Street;;Valleyfield;QC;J6S0A7;;;45.2639;-74.1546;1983;13;Plastics and Rubber;Plastiques et caoutchouc;2470052;Salaberry-de-Valleyfield;465;Salaberry-de-Valleyfield;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2003;5483;CELESTICA MONTREAL INC.;CELESTICA MONTREAL (KIRKLAND);18107, autoroute Transcanadienne;;Kirkland;QC;H9J 3K1;;;45.4451;-73.876;1983;6;Other Manufacturing;Autres fabrication;2466102;Kirkland;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5484;Produits Chimiques Magnus  Ltée.;N/A;1271  Ampere;;Boucherville;QC;J4B5Z5;;;45.5706;-73.4343;1983;3;Chemicals;Produits chimiques;2458033;Boucherville;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5485;Protech Chemicals Ltd.;Protech Montreal;7600 Henri Bourassa;;Saint-Laurent;QC;H4S1W3;;;45.5057;-73.7386;1983;3;Chemicals;Produits chimiques;2466023;Montréal;462;Montréal;2440;Montréal;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5487;Rothsay, a Division of Darling International Canada Inc.;Rothsay Quebec;605 1ère Avenue;;Sainte-Catherine;QC;J5C 1C5;;;45.40599;-73.586222;1983;6;Other Manufacturing;Autres fabrication;2467030;Sainte-Catherine;462;Montréal;2435;Montérégie;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
2014;5489;Siemens Canada Ltd.;Opérations de Drummondville;1500 Janelle;;Drummondville;QC;J2C3E5;;;45.884874;-72.518703;1983;6;Other Manufacturing;Autres fabrication;2449058;Drummondville;447;Drummondville;2433;Centre-du-Québec;8;MixedWood Plain;Plaines à forêts mixtes;2;St. Lawrence Drainage Area;Aire de drainage du Saint-Laurent
